folder_or_package,files_retained,bytes_retained,status,decision,authority,target,phase,reason
08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/JobAssist-upgrade-pass5,83,121683,retained/trimmed,extract-adapter,WorkCore Documents / Titan Vault,app/Domains/TitanTrain/Infrastructure/Adapters/Documents,Pass 6,"Generation, protected storage or OCR capability behind canonical document records."
08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/TitanDocs,92,379454,retained/trimmed,extract-adapter,WorkCore Documents / Titan Vault,app/Domains/TitanTrain/Infrastructure/Adapters/Documents,Pass 6,"Generation, protected storage or OCR capability behind canonical document records."
08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/TitanVault,35,101602,retained/trimmed,extract-adapter,WorkCore Documents / Titan Vault,app/Domains/TitanTrain/Infrastructure/Adapters/Documents,Pass 6,"Generation, protected storage or OCR capability behind canonical document records."
09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs,611,2150689,retained/trimmed,extract-adapter,WorkCore Premises/Jobs/Dispatch,app/Domains/TitanTrain/Infrastructure/Adapters/Operations,Pass 7,Context and eligibility adapters only; no duplicate job/property tables.
09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Dispatch,198,209259,retained/trimmed,extract-adapter,WorkCore Premises/Jobs/Dispatch,app/Domains/TitanTrain/Infrastructure/Adapters/Operations,Pass 7,Context and eligibility adapters only; no duplicate job/property tables.
09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/ManagedPremises,262,413333,retained/trimmed,extract-adapter,WorkCore Premises/Jobs/Dispatch,app/Domains/TitanTrain/Infrastructure/Adapters/Operations,Pass 7,Context and eligibility adapters only; no duplicate job/property tables.
09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/Report,24,96088,retained/trimmed,extract-adapter,WorkCore Premises/Jobs/Dispatch,app/Domains/TitanTrain/Infrastructure/Adapters/Operations,Pass 7,Context and eligibility adapters only; no duplicate job/property tables.
10_VOICE_CHANNELS_AND_TUTORING/AI_System_Extensions/chatbot-voice,54,179699,retained/trimmed,adapt-extension,Titan Channels / Chatbot PWA,app/Extensions/TitanTrainVoice,Pass 3 or 8,Voice provider adapters; conversation remains in channel layer.
10_VOICE_CHANNELS_AND_TUTORING/Additional_High_Value/chatbot-voice-call,12,56539,retained/trimmed,adapt-extension,Titan Channels / Chatbot PWA,app/Extensions/TitanTrainVoice,Pass 3 or 8,Voice provider adapters; conversation remains in channel layer.
10_VOICE_CHANNELS_AND_TUTORING/Additional_High_Value/voice-isolator,4,5147,retained/trimmed,adapt-extension,Titan Channels / Chatbot PWA,app/Extensions/TitanTrainVoice,Pass 3 or 8,Voice provider adapters; conversation remains in channel layer.
10_VOICE_CHANNELS_AND_TUTORING/Base_App_System_Extensions/elevenlabs-voice-chat,24,85981,retained/trimmed,adapt-extension,Titan Channels / Chatbot PWA,app/Extensions/TitanTrainVoice,Pass 3 or 8,Voice provider adapters; conversation remains in channel layer.
10_VOICE_CHANNELS_AND_TUTORING/Base_App_System_Extensions/openai-realtime-chat,7,15079,retained/trimmed,adapt-extension,Titan Channels / Chatbot PWA,app/Extensions/TitanTrainVoice,Pass 3 or 8,Voice provider adapters; conversation remains in channel layer.
11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/RestAPI,321,290886,retained/trimmed,extract-adapter,WorkCore Audit / Titan Rewind,app/Domains/TitanTrain/Infrastructure/Adapters/Audit,Pass 7,"Audit, API and recovery hooks through WorkCore contracts."
11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/TitanRewind-worksuite-upgrade-pass4,131,188603,retained/trimmed,extract-adapter,WorkCore Audit / Titan Rewind,app/Domains/TitanTrain/Infrastructure/Adapters/Audit,Pass 7,"Audit, API and recovery hooks through WorkCore contracts."
13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected,1610,4485799,retained/trimmed,reference-only,Current repository host,none,Pass 1,Do not copy over current host; use only for comparison.
13_HOST_INTEGRATION_REFERENCES/TitanZero_Extension_SDK_v2,66,183441,retained/trimmed,integrate-contracts,Host extension runtime,app/Support/Extensions,Pass 5,Manifest and lifecycle contracts for optional LMS extensions.
14_MOBILE_APP_BUILDER_DONORS/Flutter_and_Vue_App_Templates,263,701056,retained/trimmed,reject-active-merge,Titan Zero Chatbot PWA,source-packs/archive,Not scheduled,Not required for online Chatbot PWA access; retain as reference only.
14_MOBILE_APP_BUILDER_DONORS/MobileKit_UI_Source,116,1112087,retained/trimmed,reject-active-merge,Titan Zero Chatbot PWA,source-packs/archive,Not scheduled,Not required for online Chatbot PWA access; retain as reference only.
14_MOBILE_APP_BUILDER_DONORS/React_Capacitor_App_Builder_Selected,99,701711,retained/trimmed,reject-active-merge,Titan Zero Chatbot PWA,source-packs/archive,Not scheduled,Not required for online Chatbot PWA access; retain as reference only.
